english,japanese,POS,phrase,unit,part,page,status,level,grade,textbook,,
November,11月,月,,1,"I'm from Tokyo, Japan.",10,es_word,ES,6,Blue Sky Elementary 6,,
December,12月,月,,1,"I'm from Tokyo, Japan.",10,es_word,ES,6,Blue Sky Elementary 6,,
1st (first),1日目,日付,,1,"I'm from Tokyo, Japan.",54,es_word,ES,6,Blue Sky Elementary 6,,
2nd (second),2日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
3rd (third),3日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
4th (fourth),4日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
5th (fifth),5日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
6th (sixth),6日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
7th (seventh),7日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
8th (eighth),8日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
9th (ninth),9日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
10th (tenth),10日目,日付,,1,"I'm from Tokyo, Japan.",29,es_word,ES,6,Blue Sky Elementary 6,,
Atomic Bomb Dome,原爆ドーム,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Eiheiji Temple,永平寺,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Izumo Grand Shrine,出雲大社,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Kusatsu Hot Springs,草津温泉,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
Lake Biwa,琵琶湖,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Mt. Fuji,富士山,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
Shuri Castle,首里城,観光地,,2,Welcome to Japan.,20,es_word,ES,6,Blue Sky Elementary 6,,
Tanabata Festival,七夕祭り,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
Yokohama Bay Bridge,横浜ベイブリッジ,観光地,,2,Welcome to Japan.,21,es_word,ES,6,Blue Sky Elementary 6,,
amusement park,遊園地,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
aquarium,水族館,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
art museum,美術館,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
bookstore,書店,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
cake shop,ケーキ屋,"施設,設備",,3,We need a big park in town.,19,es_word,ES,6,Blue Sky Elementary 6,,
coffee shop,コーヒーショップ,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
convenience store,コンビニ,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
department store,デパート,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
flower shop,花屋,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
gym,ジム,"施設,設備",,3,We need a big park in town.,5,es_word,ES,6,Blue Sky Elementary 6,,
hospital,病院,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
hotel,ホテル,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
ice cream shop,アイスクリーム屋,"施設,設備",,3,We need a big park in town.,4,es_word,ES,6,Blue Sky Elementary 6,,
library,図書館,"施設,設備",,3,We need a big park in town.,80,es_word,ES,6,Blue Sky Elementary 6,,
movie theater,映画館,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
park,公園,"施設,設備",,3,We need a big park in town.,74,es_word,ES,6,Blue Sky Elementary 6,,
post office,郵便局,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
restaurant,レストラン,"施設,設備",,3,We need a big park in town.,79,es_word,ES,6,Blue Sky Elementary 6,,
shopping mall,ショッピングモール,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
stadium,スタジアム,"施設,設備",,3,We need a big park in town.,32,es_word,ES,6,Blue Sky Elementary 6,,
station,駅,"施設,設備",,3,We need a big park in town.,32,es_word,ES,6,Blue Sky Elementary 6,,
supermarket,スーパーマーケット,"施設,設備",,3,We need a big park in town.,78,es_word,ES,6,Blue Sky Elementary 6,,
swimming pool,プール,"施設,設備",,3,We need a big park in town.,109,es_word,ES,6,Blue Sky Elementary 6,,
town,町,"施設,設備",,3,We need a big park in town.,32,es_word,ES,6,Blue Sky Elementary 6,,
zoo,動物園,"施設,設備",,3,We need a big park in town.,114,es_word,ES,6,Blue Sky Elementary 6,,
I ate fish.,魚を食べた,食べ物,,4,I went to the zoo.,104,es_word,ES,6,Blue Sky Elementary 6,,
I ate ice cream.,アイスクリームを食べた,食べ物,,4,I went to the zoo.,4,es_word,ES,6,Blue Sky Elementary 6,,
I ate shaved ice.,かき氷を食べた,食べ物,,4,I went to the zoo.,104,es_word,ES,6,Blue Sky Elementary 6,,
I ate watermelon.,スイカを食べた,食べ物,,4,I went to the zoo.,105,es_word,ES,6,Blue Sky Elementary 6,,
I enjoyed camping.,キャンプを楽しんだ,楽しんだこと,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
I enjoyed fishing.,釣りを楽しんだ,楽しんだこと,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
I enjoyed hiking.,ハイキングを楽しんだ,楽しんだこと,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
I enjoyed swimming.,水泳を楽しんだ,楽しんだこと,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
I saw a rainbow.,虹を見た,自然,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
I saw a sunrise.,朝日を見た,自然,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
I saw beetles.,カブトムシを見た,自然,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
I saw the fireworks.,花火を見た,自然,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
I went to the beach.,ビーチに行った,自然,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
I went to the lake.,湖に行った,自然,,4,I went to the zoo.,20,es_word,ES,6,Blue Sky Elementary 6,,
I went to the mountains.,山に行った,自然,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
I went to the river.,川に行った,自然,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
ate,食べた,動詞の過去形,,4,I went to the zoo.,32,es_word,ES,6,Blue Sky Elementary 6,,
enjoyed,楽しんだ,動詞の過去形,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
saw,見た,動詞の過去形,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
went,行った,動詞の過去形,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
camping,キャンプ,楽しんだこと,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
hiking,ハイキング,楽しんだこと,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
jogging,ジョギング,楽しんだこと,,4,I went to the zoo.,102,es_word,ES,6,Blue Sky Elementary 6,,
reading,読書,楽しんだこと,,4,I went to the zoo.,100,es_word,ES,6,Blue Sky Elementary 6,,
shopping,ショッピング,楽しんだこと,,4,I went to the zoo.,34,es_word,ES,6,Blue Sky Elementary 6,,
exciting,ワクワクする,感想,,4,I went to the zoo.,23,es_word,ES,6,Blue Sky Elementary 6,,
fun,楽しい,感想,,4,I went to the zoo.,24,es_word,ES,6,Blue Sky Elementary 6,,
good,良い,感想,,4,I went to the zoo.,51,es_word,ES,6,Blue Sky Elementary 6,,
great,素晴らしい,感想,,4,I went to the zoo.,42,es_word,ES,6,Blue Sky Elementary 6,,
summer vacation,夏休み,過去を表す表現,,4,I went to the zoo.,43,es_word,ES,6,Blue Sky Elementary 6,,
I bought a present.,プレゼントを買った,動詞の過去形,,5,This is my hero.,53,es_word,ES,6,Blue Sky Elementary 6,,
I bought a T-shirt.,Tシャツを買った,動詞の過去形,,5,This is my hero.,53,es_word,ES,6,Blue Sky Elementary 6,,
I bought manga.,漫画を買った,動詞の過去形,,5,This is my hero.,53,es_word,ES,6,Blue Sky Elementary 6,,
I made a model ship.,模型船を作った,動詞の過去形,,5,This is my hero.,52,es_word,ES,6,Blue Sky Elementary 6,,
I made cookies.,クッキーを作った,動詞の過去形,,5,This is my hero.,53,es_word,ES,6,Blue Sky Elementary 6,,
I made dinner.,夕食を作った,動詞の過去形,,5,This is my hero.,53,es_word,ES,6,Blue Sky Elementary 6,,
I played badminton.,バドミントンをした,動詞の過去形,,5,This is my hero.,111,es_word,ES,6,Blue Sky Elementary 6,,
I played computer games.,コンピュータゲームをした,動詞の過去形,,5,This is my hero.,52,es_word,ES,6,Blue Sky Elementary 6,,
I played the piano.,ピアノを弾いた,動詞の過去形,,5,This is my hero.,44,es_word,ES,6,Blue Sky Elementary 6,,
I watched a baseball game.,野球の試合を見た,動詞の過去形,,5,This is my hero.,52,es_word,ES,6,Blue Sky Elementary 6,,
I watched a movie.,映画を見た,動詞の過去形,,5,This is my hero.,109,es_word,ES,6,Blue Sky Elementary 6,,
I watched anime.,アニメを見た,動詞の過去形,,5,This is my hero.,52,es_word,ES,6,Blue Sky Elementary 6,,
bought,買った,動詞の過去形,,5,This is my hero.,53,es_word,ES,6,Blue Sky Elementary 6,,
made,作った,動詞の過去形,,5,This is my hero.,53,es_word,ES,6,Blue Sky Elementary 6,,
played,した,動詞の過去形,,5,This is my hero.,52,es_word,ES,6,Blue Sky Elementary 6,,
watched,見た,動詞の過去形,,5,This is my hero.,52,es_word,ES,6,Blue Sky Elementary 6,,
cloudy,曇り,特徴,,5,This is my hero.,58,es_word,ES,6,Blue Sky Elementary 6,,
rainy,雨,特徴,,5,This is my hero.,58,es_word,ES,6,Blue Sky Elementary 6,,
snowy,雪,特徴,,5,This is my hero.,59,es_word,ES,6,Blue Sky Elementary 6,,
sunny,晴れ,特徴,,5,This is my hero.,58,es_word,ES,6,Blue Sky Elementary 6,,
Sunday,日曜日,特徴,,5,This is my hero.,26,es_word,ES,6,Blue Sky Elementary 6,,
Monday,月曜日,特徴,,5,This is my hero.,20,es_word,ES,6,Blue Sky Elementary 6,,
Tuesday,火曜日,特徴,,5,This is my hero.,20,es_word,ES,6,Blue Sky Elementary 6,,
Wednesday,水曜日,特徴,,5,This is my hero.,20,es_word,ES,6,Blue Sky Elementary 6,,
Thursday,木曜日,特徴,,5,This is my hero.,20,es_word,ES,6,Blue Sky Elementary 6,,
Friday,金曜日,特徴,,5,This is my hero.,26,es_word,ES,6,Blue Sky Elementary 6,,
Saturday,土曜日,特徴,,5,This is my hero.,26,es_word,ES,6,Blue Sky Elementary 6,,
weekend,週末,特徴,,5,This is my hero.,26,es_word,ES,6,Blue Sky Elementary 6,,
yesterday,昨日,過去を表す表現,,5,This is my hero.,55,es_word,ES,6,Blue Sky Elementary 6,,
drama festival,ドラマフェスティバル,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
entrance ceremony,入学式,学校行事,,6,My favorite memory is the school trip.,62,es_word,ES,6,Blue Sky Elementary 6,,
field trip,校外学習,学校行事,,6,My favorite memory is the school trip.,62,es_word,ES,6,Blue Sky Elementary 6,,
graduation ceremony,卒業式,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
music festival,音楽祭,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
school camp,スクールキャンプ,学校行事,,6,My favorite memory is the school trip.,62,es_word,ES,6,Blue Sky Elementary 6,,
school marathon,学校マラソン,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
school trip,修学旅行,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
sports festival,スポーツフェスティバル,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
swimming meet,水泳大会,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
volunteer day,ボランティアデー,学校行事,,6,My favorite memory is the school trip.,63,es_word,ES,6,Blue Sky Elementary 6,,
artist,アーティスト,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
astronaut,宇宙飛行士,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
baker,パン職人,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
baseball player,野球選手,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
bus driver,バス運転手,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
carpenter,大工,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
comedian,コメディアン,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
cook,コック,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
dentist,歯医者,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
doctor,医者,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
farmer,農家,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
fashion designer,ファッションデザイナー,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
figure skater,フィギュアスケーター,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
fire fighter,消防士,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
flight attendant,客室乗務員,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
florist,花屋,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
game creator,ゲームクリエイター,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
hairdresser,美容師,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
king,王様,職業,,7,I want to be a fashion designer.,4,es_word,ES,6,Blue Sky Elementary 6,,
nurse,看護師,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
nursery school teacher,保育士,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
pastry chef,パティシエ,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
pilot,パイロット,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
police officer,警察官,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
queen,女王,職業,,7,I want to be a fashion designer.,4,es_word,ES,6,Blue Sky Elementary 6,,
scientist,科学者,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
singer,歌手,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
soccer player,サッカー選手,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
teacher,教師,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
vet,獣医,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
zookeeper,動物園の飼育係,職業,,7,I want to be a fashion designer.,117,es_word,ES,6,Blue Sky Elementary 6,,
want to ~,～したい,動作,,7,I want to be a fashion designer.,16,es_word,ES,6,Blue Sky Elementary 6,,
art club,美術部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
baseball team,野球部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
basketball team,バスケットボール部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
brass band,ブラスバンド,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
chorus,コーラス,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
computer club,コンピュータ部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
dance club,ダンス部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
judo club,柔道部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
newspaper club,新聞部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
science club,科学部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
soccer team,サッカー部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
swimming team,水泳部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
tennis team,テニス部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
track and field team,陸上部,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
club,部活,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
team,チーム,部活動,,8,I want to join the brass band.,84,es_word,ES,6,Blue Sky Elementary 6,,
arts and crafts room,美術工芸室,学校施設,,8,I want to join the brass band.,22,es_word,ES,6,Blue Sky Elementary 6,,
classroom,教室,学校施設,,8,I want to join the brass band.,108,es_word,ES,6,Blue Sky Elementary 6,,
computer room,コンピュータ室,学校施設,,8,I want to join the brass band.,108,es_word,ES,6,Blue Sky Elementary 6,,
cooking room,調理室,学校施設,,8,I want to join the brass band.,57,es_word,ES,6,Blue Sky Elementary 6,,
entrance,入口,学校施設,,8,I want to join the brass band.,108,es_word,ES,6,Blue Sky Elementary 6,,
music room,音楽室,学校施設,,8,I want to join the brass band.,22,es_word,ES,6,Blue Sky Elementary 6,,
playground,運動場,学校施設,,8,I want to join the brass band.,108,es_word,ES,6,Blue Sky Elementary 6,,
restroom,トイレ,学校施設,,8,I want to join the brass band.,108,es_word,ES,6,Blue Sky Elementary 6,,
school nurse's office,保健室,学校施設,,8,I want to join the brass band.,108,es_word,ES,6,Blue Sky Elementary 6,,
school principal's office,校長室,学校施設,,8,I want to join the brass band.,108,es_word,ES,6,Blue Sky Elementary 6,,
science room,理科室,学校施設,,8,I want to join the brass band.,22,es_word,ES,6,Blue Sky Elementary 6,,
teachers' office,教員室,学校施設,,8,I want to join the brass band.,22,es_word,ES,6,Blue Sky Elementary 6,,
career day,キャリアデー,学校行事,,8,I want to join the brass band.,88,es_word,ES,6,Blue Sky Elementary 6,,
chorus contest,コーラスコンテスト,学校行事,,8,I want to join the brass band.,88,es_word,ES,6,Blue Sky Elementary 6,,
term tests,学期末テスト,学校行事,,8,I want to join the brass band.,88,es_word,ES,6,Blue Sky Elementary 6,,
junior high school,中学校,学校行事,,8,I want to join the brass band.,89,es_word,ES,6,Blue Sky Elementary 6,,